graph_id,min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
137,0.2,1,9,0,-1,2,2,12
138,0.2,1,9,1,-1,2,2,12
139,0.2,1,9,2,3,0,0,0
140,0.2,1,9,3,10,2,2,12
141,0.2,1,10,0,-1,2,2,12
142,0.2,1,10,1,-1,2,2,12
143,0.2,1,10,2,3,0,0,0
144,0.2,1,10,3,7,2,2,12
145,0.2,2,5,0,105,1,1,12
146,0.2,2,5,1,245,1,1,12
147,0.2,2,5,2,288,1,1,12
148,0.2,2,5,3,694,3,4,12
149,0.2,2,6,0,41,1,1,12
150,0.2,2,6,1,62,1,1,12
151,0.2,2,6,2,68,1,1,12
152,0.2,2,6,3,251,3,4,12
153,0.2,2,7,0,17,1,1,12
154,0.2,2,7,1,35,1,1,12
155,0.2,2,7,2,44,1,1,12
156,0.2,2,7,3,233,3,4,12
157,0.2,2,8,0,3,1,1,12
158,0.2,2,8,1,12,1,1,12
159,0.2,2,8,2,13,1,1,12
160,0.2,2,8,3,233,3,4,12
161,0.2,2,9,0,3,1,1,12
162,0.2,2,9,1,10,1,1,12
163,0.2,2,9,2,12,1,1,12
164,0.2,2,9,3,168,3,4,12
165,0.2,2,10,0,2,1,1,12
166,0.2,2,10,1,6,1,1,12
167,0.2,2,10,2,11,1,1,12
168,0.2,2,10,3,111,3,4,12
169,0.2,3,5,0,116,2,2,12
170,0.2,3,5,1,4272,3,3,12
171,0.2,3,5,2,3025,0,0,0
172,0.2,3,5,3,3025,0,0,0
173,0.2,3,6,0,21,2,2,12
174,0.2,3,6,1,207,2,2,12
175,0.2,3,6,2,1760,2,2,12
176,0.2,3,6,3,3025,0,0,0
177,0.2,3,7,0,12,2,2,12
178,0.2,3,7,1,193,2,2,12
179,0.2,3,7,2,1702,2,2,12
180,0.2,3,7,3,3025,0,0,0
181,0.2,3,8,0,7,2,2,12
182,0.2,3,8,1,15,2,2,12
183,0.2,3,8,2,25,2,2,12
184,0.2,3,8,3,253,3,3,12
185,0.2,3,9,0,3,2,2,12
186,0.2,3,9,1,11,2,2,12
187,0.2,3,9,2,21,2,2,12
188,0.2,3,9,3,249,3,3,12
189,0.2,3,10,0,3,2,2,12
190,0.2,3,10,1,4,2,2,12
191,0.2,3,10,2,9,2,2,12
192,0.2,3,10,3,82,3,3,12
193,0.2,4,5,0,268,2,2,12
194,0.2,4,5,1,590,2,2,12
195,0.2,4,5,2,590,2,2,12
196,0.2,4,5,3,3124,5,6,12
197,0.2,4,6,0,105,1,1,12
198,0.2,4,6,1,478,1,1,12
199,0.2,4,6,2,512,1,1,12
200,0.2,4,6,3,2919,5,6,12
201,0.2,4,7,0,35,1,1,12
202,0.2,4,7,1,196,1,1,12
203,0.2,4,7,2,273,1,1,12
204,0.2,4,7,3,1687,4,5,12
205,0.2,4,8,0,23,1,1,12
206,0.2,4,8,1,150,1,1,12
207,0.2,4,8,2,225,1,1,12
208,0.2,4,8,3,1409,3,3,12
209,0.2,4,9,0,2,0,0,0
210,0.2,4,9,1,18,0,0,0
211,0.2,4,9,2,61,0,0,0
212,0.2,4,9,3,583,2,2,12
213,0.2,4,10,0,1,0,0,0
214,0.2,4,10,1,2,0,0,0
215,0.2,4,10,2,2,0,0,0
216,0.2,4,10,3,11,1,1,12
217,0.2,5,5,0,800,4,5,12
218,0.2,5,5,1,2083,4,5,12
219,0.2,5,5,2,3025,0,1,12
220,0.2,5,5,3,3025,0,0,0
221,0.2,5,6,0,385,4,5,12
222,0.2,5,6,1,1490,4,5,12
223,0.2,5,6,2,4221,4,5,12
224,0.2,5,6,3,3025,0,0,0
225,0.2,5,7,0,52,4,5,12
226,0.2,5,7,1,306,4,5,12
227,0.2,5,7,2,1880,4,5,12
228,0.2,5,7,3,3025,0,0,0
229,0.2,5,8,0,42,4,5,12
230,0.2,5,8,1,115,4,5,12
231,0.2,5,8,2,641,4,5,12
232,0.2,5,8,3,3025,0,0,0
233,0.2,5,9,0,31,3,4,12
234,0.2,5,9,1,67,3,4,12
235,0.2,5,9,2,113,3,4,12
236,0.2,5,9,3,344,3,4,12
237,0.2,5,10,0,18,3,4,12
238,0.2,5,10,1,31,3,4,12
239,0.2,5,10,2,41,3,4,12
240,0.2,5,10,3,117,3,4,12
241,0.3,1,5,0,177,2,3,12
242,0.3,1,5,1,277,2,4,12
243,0.3,1,5,2,320,2,4,12
